City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Araouane,ML,92.41,few clouds,18.9048,-3.5265,
4,Itacoatiara,BR,80.2,light rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
5,Georgetown,MY,83.95,scattered clouds,5.4112,100.3354,Cititel Penang
6,Caravelas,BR,83.07,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
11,Rikitea,PF,77.86,few clouds,-23.1203,-134.9692,People ThankYou
12,Bhavnagar,IN,87.44,clear sky,21.7667,72.15,Hotel Mausam
18,Antalaha,MG,75.2,broken clouds,-14.9003,50.2788,Hotel Vitasoa
20,Chuy,UY,76.69,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
21,Meulaboh,ID,77.59,scattered clouds,4.1363,96.1285,Kost Pria
26,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
28,Necochea,AR,78.87,clear sky,-38.5473,-58.7368,dyd -mar Hotel
30,Hilo,US,76.62,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Guiratinga,BR,85.84,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
36,Boyuibe,BO,90.28,clear sky,-20.4167,-63.2833,Residencial Eluzai
40,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
50,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
51,Kapaa,US,75.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Daru,PG,76.39,overcast clouds,-9.0763,143.2092,Daru Lodge
60,Xicotencatl,MX,84.47,clear sky,23.0167,-98.8833,Misioneros Vázquez Mireles
61,Aliaga,PH,75.22,broken clouds,15.5167,120.8667,Jhenie rich ramos
65,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
66,Jutai,BR,80.85,overcast clouds,-5.1833,-68.9,
67,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Dingle,PH,77.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
73,Luganville,VU,77.76,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
