City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Araouane,ML,18.9048,-3.5265,92.41,8,12,9.73,few clouds
1,Saskylakh,RU,71.9167,114.0833,0.36,95,100,11.77,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,55.54,97,100,0.89,overcast clouds
3,Constitucion,CL,-35.3333,-72.4167,64.44,57,0,16.64,clear sky
4,Itacoatiara,BR,-3.1431,-58.4442,80.2,87,100,3.44,light rain
5,Georgetown,MY,5.4112,100.3354,83.95,87,40,2.3,scattered clouds
6,Caravelas,BR,-17.7125,-39.2481,83.07,66,78,8.43,broken clouds
7,Son La,VN,21.3167,103.9,62.26,95,95,3.4,overcast clouds
8,Bluff,NZ,-46.6,168.3333,59.5,81,100,4.29,overcast clouds
9,Dikson,RU,73.5069,80.5464,-15.21,100,90,3.96,overcast clouds
10,Mao,ES,39.8885,4.2658,57.76,82,0,1.14,clear sky
11,Rikitea,PF,-23.1203,-134.9692,77.86,72,17,6.93,few clouds
12,Bhavnagar,IN,21.7667,72.15,87.44,30,0,10.69,clear sky
13,Tasiilaq,GL,65.6145,-37.6368,26.76,84,100,4.09,overcast clouds
14,Leningradskiy,RU,69.3833,178.4167,-18.36,98,39,3.78,scattered clouds
15,Esperance,AU,-33.8667,121.9,62.44,79,98,10.07,overcast clouds
16,Boleslawiec,PL,51.2642,15.5697,57.02,73,0,7.16,clear sky
17,Lompoc,US,34.6391,-120.4579,59.85,82,75,18.41,broken clouds
18,Antalaha,MG,-14.9003,50.2788,75.2,89,51,2.91,broken clouds
19,Hermanus,ZA,-34.4187,19.2345,63.81,69,97,12.03,overcast clouds
20,Chuy,UY,-33.6971,-53.4616,76.69,44,0,8.79,clear sky
21,Meulaboh,ID,4.1363,96.1285,77.59,84,41,2.93,scattered clouds
22,Saint George,US,37.1041,-113.5841,72.19,26,20,10.0,few clouds
23,Namwala,ZM,-15.7504,26.4384,67.53,93,71,6.31,broken clouds
24,Ushuaia,AR,-54.8,-68.3,47.86,61,40,14.97,scattered clouds
25,Ahipara,NZ,-35.1667,173.1667,61.75,87,4,6.58,clear sky
26,Salalah,OM,17.0151,54.0924,80.69,57,0,2.3,clear sky
