City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shaumiani,GE,2022-03-25 16:19:30,41.3527,44.7618,44.42,65,11,1.1
1,Labrea,BR,2022-03-25 16:19:30,-7.2586,-64.7981,82.63,84,74,3.18
2,Kahului,US,2022-03-25 16:19:31,20.8947,-156.47,73.42,68,0,11.5
3,Mehamn,NO,2022-03-25 16:19:32,71.0357,27.8492,21.6,67,100,9.73
4,Barrow,US,2022-03-25 16:18:53,71.2906,-156.7887,-2.18,78,100,19.57
5,Sao Filipe,CV,2022-03-25 16:19:32,14.8961,-24.4956,71.94,71,7,11.68
6,Mar Del Plata,AR,2022-03-25 16:19:17,-38.0023,-57.5575,62.62,90,75,14.97
7,Beloha,MG,2022-03-25 16:19:33,-25.1667,45.05,75.06,87,76,5.23
8,Clearwater,US,2022-03-25 16:17:00,27.9659,-82.8001,74.97,51,0,14.97
9,Ca Mau,VN,2022-03-25 16:19:33,9.1769,105.15,81.07,78,1,4.16
10,Halifax,CA,2022-03-25 16:16:56,44.6453,-63.5724,37.53,96,100,24.16
11,North Battleford,CA,2022-03-25 16:15:39,52.7834,-108.2847,17.69,73,0,10.36
12,Butaritari,KI,2022-03-25 16:19:34,3.0707,172.7902,80.17,77,23,11.14
13,Ushuaia,AR,2022-03-25 16:19:34,-54.8,-68.3,56.86,51,40,13.8
14,Punta Arenas,CL,2022-03-25 16:19:35,-53.15,-70.9167,57.31,47,100,14.97
15,Lebu,CL,2022-03-25 16:19:35,-37.6167,-73.65,60.13,67,1,19.15
16,Victor Harbor,AU,2022-03-25 16:19:35,-35.5667,138.6167,62.01,86,0,9.51
17,Monze,ZM,2022-03-25 16:19:36,-16.2833,27.4833,71.4,85,92,4.23
18,Mahebourg,MU,2022-03-25 16:19:36,-20.4081,57.7,80.89,83,40,3.44
19,Grand Gaube,MU,2022-03-25 16:19:37,-20.0064,57.6608,81.0,83,3,3.0
20,Raga,SS,2022-03-25 16:19:37,8.4596,25.678,92.61,10,3,5.99
21,Biak,ID,2022-03-25 16:19:37,-0.9131,122.8766,77.59,80,96,2.95
22,Pignon,HT,2022-03-25 16:19:38,19.3333,-72.1167,78.53,35,23,2.57
23,Sao Sebastiao,BR,2022-03-25 16:19:38,-23.76,-45.4097,90.46,54,36,3.4
24,Ponta Do Sol,PT,2022-03-25 16:19:39,32.6667,-17.1,66.0,69,59,0.89
